A B C D classA classB classC classD
-52.692034 -45.381168 -47.471502 -48.587122 1 0 0 0
-75.168039 -47.284025 -54.639989 -57.278594 1 0 0 0
-85.273404 -50.988248 -58.970308 -46.59792 1 0 0 0
-61.09281 -59.39272 -57.581636 -67.408269 1 0 0 0
-42.040881 -56.541399 -55.35218 -72.569988 1 0 0 0
-70.612555 -57.601209 -58.255281 -59.355725 1 0 0 0
-73.593149 -58.925845 -56.250668 -60.532726 1 0 0 0
-41.094774 -60.110394 -60.338629 -74.361 1 0 0 0
-76.105649 -43.759933 -54.042757 -56.813465 1 0 0 0
-78.801652 -45.415184 -52.018027 -54.305574 1 0 0 0
-52.974624 -49.044838 -60.683155 -63.397634 1 0 0 0
-39.898518 -62.859151 -62.617498 -79.326386 1 0 0 0
-38.177191 -60.532791 -60.551909 -63.704505 1 0 0 0
-68.124026 -56.911707 -57.831477 -62.067921 1 0 0 0
-58.487753 -47.275637 -59.016893 -69.746167 1 0 0 0
-56.308856 -56.756015 -55.579678 -65.16594 1 0 0 0
-81.310576 -58.325996 -56.324546 -57.604274 1 0 0 0
-62.792401 -52.081214 -55.127374 -61.218854 1 0 0 0
-72.324471 -54.011934 -48.682095 -44.943171 1 0 0 0
-56.064443 -61.269065 -58.805456 -61.63194 1 0 0 0
-81.198591 -56.684833 -56.925845 -50.188822 1 0 0 0
-67.045544 -55.762736 -55.144735 -47.05741 1 0 0 0
-81.514433 -52.423057 -57.087176 -62.704467 1 0 0 0
-75.415351 -48.27492 -55.046048 -57.843827 1 0 0 0
-5.846194 4.096907 -16.222612 24.361893 0 1 0 0
-1.20525 11.844574 4.009044 0.801968 0 1 0 0
-9.612801 0.374435 -12.471004 8.037783 0 1 0 0
-11.178464 7.755218 -9.80093 8.04915 0 1 0 0
-7.002633 9.261112 -1.041999 1.390282 0 1 0 0
-10.873415 5.432012 -1.028237 8.199299 0 1 0 0
-5.561197 11.244452 5.58834 0.186778 0 1 0 0
-21.224308 1.85194 -14.328426 44.248621 0 1 0 0
-23.646858 4.343488 -12.884218 18.225337 0 1 0 0
-4.233919 10.098268 6.892098 -12.510621 0 1 0 0
-2.276591 10.639619 7.862786 3.213558 0 1 0 0
4.462965 6.595721 11.045423 -1.968772 0 1 0 0
-9.390363 4.896207 -0.371977 14.919397 0 1 0 0
-19.175387 2.411628 -8.130784 17.462942 0 1 0 0
-12.286776 0.953932 -6.003459 17.957903 0 1 0 0
-23.066497 4.823862 -10.890112 9.087619 0 1 0 0
-17.538441 4.030021 -12.71977 35.860526 0 1 0 0
-15.945267 5.62107 3.90862 17.164163 0 1 0 0
-0.118187 10.320796 -4.639239 7.182623 0 1 0 0
-21.832085 0.801773 -35.309752 16.959359 0 1 0 0
-19.99313 -0.79944 -20.645957 34.768266 0 1 0 0
-16.255103 1.5725 -16.636888 14.630854 0 1 0 0
-8.300221 7.420581 5.771071 1.143478 0 1 0 0
-16.890563 4.251379 -16.063603 17.64787 0 1 0 0
-21.17979 2.22654 -7.906444 8.346208 0 1 0 0
-0.513259 8.686125 -1.353349 -1.320333 0 1 0 0
-17.524125 3.558269 -14.80888 17.512126 0 1 0 0
-6.443833 2.09474 -14.237032 18.912089 0 1 0 0
-5.658514 10.91653 5.907394 10.495307 0 1 0 0
-16.583626 1.509551 -16.992903 15.958165 0 1 0 0
-9.626967 2.493648 -11.547801 15.577334 0 1 0 0
-6.762017 10.066 -7.372048 -11.4365 0 1 0 0
-5.198625 6.274124 -4.148484 9.831211 0 1 0 0
-10.228866 6.560792 -10.027051 26.414883 0 1 0 0
-10.378505 6.15641 -6.787799 19.069327 0 1 0 0
-4.234334 7.403 3.583651 18.029331 0 1 0 0
-17.871753 6.005426 -19.341694 20.582586 0 1 0 0
-5.232014 10.597503 -0.290277 8.58322 0 1 0 0
-5.000278 7.063518 1.444436 9.168813 0 1 0 0
-11.360736 7.542055 -5.84189 10.012672 0 1 0 0
-18.706233 -1.476978 -15.149924 23.229435 0 1 0 0
-16.163336 0.885252 -16.833534 6.704321 0 1 0 0
7.42564 12.997448 9.084542 -4.095701 0 1 0 0
-15.499187 5.669607 2.759759 16.695485 0 1 0 0
-22.445743 -5.389062 -22.762858 30.22153 0 1 0 0
-12.839812 4.690553 -0.787878 14.972024 0 1 0 0
2.143754 9.489916 9.465025 0.44545 0 1 0 0
-0.476201 7.889988 -1.944839 13.457203 0 1 0 0
-3.321749 6.714246 14.024498 10.658639 0 1 0 0
0.422905 5.290003 -6.194326 3.109098 0 1 0 0
65.102809 -58.786353 53.452764 -65.284936 0 1 0 0
50.927812 -59.193624 51.981988 -52.229214 0 1 0 0
50.508308 -58.210535 39.064154 -29.147676 0 1 0 0
69.953231 -56.175418 52.214441 -69.110945 0 1 0 0
62.019779 -56.304138 47.224267 -67.125385 0 1 0 0
55.879667 -60.314517 48.153143 -56.04208 0 1 0 0
49.868203 -57.999886 32.565781 -65.938633 0 1 0 0
61.386088 -59.011679 55.153143 -72.897723 0 1 0 0
58.32139 -55.55135 55.784935 -63.817521 0 1 0 0
67.306454 -49.781314 65.135149 -65.957137 0 1 0 0
54.212375 -61.866998 47.071877 -42.350563 0 1 0 0
46.837477 -61.871909 50.662849 -29.089626 0 1 0 0
63.134779 -53.304129 51.136663 -52.776826 0 1 0 0
49.128431 -62.767772 43.42661 -50.343935 0 1 0 0
59.1708 -54.722782 59.849991 -52.569723 0 1 0 0
52.588923 -64.672018 48.725475 -52.836812 0 1 0 0
59.289754 -54.343013 60.413819 -68.620921 0 1 0 0
65.269566 -55.651676 75.306051 -74.695734 0 1 0 0
52.657103 -54.059823 63.61585 -60.128553 0 1 0 0
57.206214 -56.839788 48.916774 -54.640713 0 1 0 0
59.063792 -58.682795 59.423212 -47.537208 0 1 0 0
56.558311 -61.067986 53.018338 -55.319081 0 1 0 0
60.649595 -50.20396 57.355089 -62.81898 0 1 0 0
67.403394 -50.509575 58.859602 -64.692493 0 1 0 0
49.798107 -59.76822 40.377791 -56.071042 0 1 0 0
52.662558 -55.477494 48.977191 -47.534445 0 1 0 0
60.82604 -56.732976 51.667747 -53.879104 0 1 0 0
49.094427 -51.259619 47.890143 -51.769581 0 1 0 0
73.333151 -51.074143 67.962616 -81.275619 0 1 0 0
66.564522 -46.276341 84.251881 -89.789365 0 1 0 0
64.074837 -54.184803 61.846683 -65.437567 0 1 0 0
47.188183 -64.859868 35.753623 -48.260397 0 1 0 0
47.818668 -55.942922 48.989841 -56.257781 0 1 0 0
53.695021 -56.562988 56.475677 -72.833868 0 1 0 0
44.264732 -59.702323 32.08625 -40.353158 0 1 0 0
60.949257 -56.992294 58.51707 -59.311449 0 1 0 0
59.152895 -56.809242 48.07679 -60.064926 0 1 0 0
56.848973 -55.967707 62.585836 -52.611126 0 1 0 0
55.078776 -62.838479 59.052465 -42.516189 0 1 0 0
64.988151 -51.543716 56.013831 -62.844963 0 1 0 0
62.544746 -49.618338 75.651119 -67.521087 0 1 0 0
59.441426 -60.568496 59.477794 -64.350953 0 1 0 0
67.731702 -48.138084 65.842099 -59.088911 0 1 0 0
64.409886 -56.721471 52.579902 -48.057979 0 1 0 0
63.9407 -58.400014 59.39947 -72.999697 0 1 0 0
64.822312 -54.521824 74.876819 -70.059224 0 1 0 0
46.511918 -60.317837 46.45342 -43.863613 0 1 0 0
51.42759 -63.050953 33.476272 -36.800603 0 1 0 0
55.733517 -54.935548 57.751544 -71.945781 0 1 0 0
71.427841 -50.212473 68.930343 -75.871096 0 1 0 0
8.828637 -10.011544 24.13583 -6.549628 0 0 1 0
4.24078 -26.987248 36.767446 -24.759156 0 0 1 0
11.202988 -10.816432 7.8057 -2.297542 0 0 1 0
12.393768 -6.103492 -3.184945 -14.246238 0 0 1 0
8.917881 -9.044561 0.097283 -8.140042 0 0 1 0
17.148825 6.603564 2.086075 -4.59126 0 0 1 0
10.606467 -16.379566 15.504917 -13.297686 0 0 1 0
5.3633 -9.452466 -3.516589 -10.290443 0 0 1 0
19.700404 2.11579 -19.177913 -4.63542 0 0 1 0
8.579583 -8.071596 -2.768653 -18.152604 0 0 1 0
8.68403 -3.735759 14.239797 -8.231672 0 0 1 0
12.344032 -3.428312 -5.163306 -3.405621 0 0 1 0
8.550595 9.38979 11.175794 -15.085732 0 0 1 0
11.558801 -4.490429 -6.875262 -13.154486 0 0 1 0
13.527197 3.178178 2.402638 -11.293442 0 0 1 0
14.797019 13.254015 -13.133431 -7.822053 0 0 1 0
10.073017 -2.239661 -14.623083 -13.077498 0 0 1 0
5.109028 -19.525049 10.145405 -15.455153 0 0 1 0
0.974614 -23.986871 34.798812 -22.536219 0 0 1 0
4.358816 -12.469539 8.015631 -12.449352 0 0 1 0
6.289395 -16.647955 16.271673 -16.59855 0 0 1 0
0.613936 -13.435359 21.268571 -13.593033 0 0 1 0
6.20505 3.623955 -3.720902 -5.29161 0 0 1 0
9.631243 -1.584404 -1.753808 -11.250657 0 0 1 0
6.399053 -1.541608 12.639126 -12.822622 0 0 1 0
14.949348 -5.639828 -10.84783 -7.652947 0 0 1 0
10.56625 -12.360877 26.367074 -3.48048 0 0 1 0
19.287118 2.349458 -15.336557 -10.818656 0 0 1 0
6.694574 -0.691572 -2.375468 -12.910378 0 0 1 0
3.030388 -14.975754 18.802595 -8.067679 0 0 1 0
13.552034 1.559144 7.795502 -7.835819 0 0 1 0
13.286396 4.378407 -4.499899 -12.028436 0 0 1 0
7.816739 4.22719 13.032672 -12.600186 0 0 1 0
19.898903 23.598629 -17.052782 4.954706 0 0 1 0
3.63677 -7.322672 18.463094 -9.752272 0 0 1 0
5.648512 -11.951033 25.440238 -21.83608 0 0 1 0
9.717716 -9.918372 19.673289 -5.621643 0 0 1 0
11.877827 4.867719 6.848623 -14.741874 0 0 1 0
9.348074 -14.572181 30.430634 -18.883028 0 0 1 0
10.010446 -16.541645 11.294083 -8.005837 0 0 1 0
11.230313 -11.886238 4.476921 -9.766599 0 0 1 0
12.646863 -8.713385 4.79095 -15.233039 0 0 1 0
5.99806 -5.475176 16.643712 -12.540036 0 0 1 0
6.540036 -6.215513 16.353858 -11.209962 0 0 1 0
12.315173 -1.964961 -23.915398 2.039174 0 0 1 0
9.6856 -6.71661 0.260148 -18.150003 0 0 1 0
9.238449 -3.416718 1.028722 -0.791781 0 0 1 0
1.015746 -35.272478 40.773021 -25.435661 0 0 1 0
11.045602 -11.452518 0.452203 -8.91267 0 0 1 0
3.315866 -14.351066 14.319024 -21.62569 0 0 1 0
-54.608933 54.299012 -46.742607 63.710932 0 0 1 0
-61.896998 58.179738 -73.590696 69.538542 0 0 1 0
-64.950696 36.692681 -52.412118 52.033613 0 0 1 0
-61.556871 54.707585 -61.609133 66.922869 0 0 1 0
-69.265445 41.728404 -38.035697 58.586857 0 0 1 0
-58.787982 57.86702 -61.619531 58.795926 0 0 1 0
-66.131903 42.067711 -42.536936 44.552156 0 0 1 0
-62.585417 57.114832 -37.511959 64.443163 0 0 1 0
-54.889073 61.826711 -59.97807 70.93612 0 0 1 0
-62.104747 39.891088 -55.05185 61.926449 0 0 1 0
-62.35103 51.00438 -40.541388 63.888238 0 0 1 0
-64.537458 57.527683 -53.877163 59.069336 0 0 1 0
-56.876228 65.116741 -78.442527 65.687309 0 0 1 0
-55.698516 64.364244 -60.028902 63.097987 0 0 1 0
-65.308126 40.038333 -48.751884 56.741032 0 0 1 0
-62.462233 45.484233 -42.298157 44.708136 0 0 1 0
-67.744802 44.996007 -40.264811 44.852143 0 0 1 0
-61.658148 69.196799 -68.049288 70.498253 0 0 1 0
-58.269281 58.999118 -52.912941 64.095162 0 0 1 0
-56.728941 55.213115 -45.754995 72.058618 0 0 1 0
-58.355282 59.55165 -46.771306 56.725682 0 0 1 0
-62.418815 51.260902 -63.459726 63.453526 0 0 1 0
-59.41418 64.649786 -76.341081 71.093713 0 0 1 0
-54.616349 72.139933 -76.429092 61.168796 0 0 1 0
-57.149226 64.350592 -77.179389 73.279502 0 0 1 0
-64.253291 41.093534 -37.621554 49.72475 0 0 1 0
-66.062418 36.230339 -44.593317 50.668235 0 0 1 0
-55.710847 63.302087 -70.212858 58.332753 0 0 1 0
-62.414316 54.430583 -55.896011 49.886149 0 0 1 0
-54.645778 72.804968 -60.611174 72.343594 0 0 1 0
-58.056578 66.896853 -58.2077 65.123332 0 0 1 0
-56.040897 55.391608 -48.26539 66.822679 0 0 1 0
-56.736213 61.600874 -76.749363 74.699026 0 0 1 0
-63.072866 48.950801 -53.184643 60.295686 0 0 1 0
-66.095433 34.70992 -38.607848 57.051351 0 0 1 0
-57.007913 48.280779 -58.177441 62.751243 0 0 1 0
-59.599326 69.66467 -64.437887 57.145978 0 0 1 0
-63.627324 50.426831 -66.184844 48.990117 0 0 1 0
-66.769947 66.414139 -60.97292 58.740127 0 0 1 0
-58.005559 53.37807 -59.48337 63.297983 0 0 1 0
-57.449485 62.871055 -60.542962 69.867723 0 0 1 0
-62.584699 49.084679 -39.866016 53.935161 0 0 1 0
-63.722132 46.863958 -38.790209 62.526164 0 0 1 0
-67.470311 47.577511 -60.141625 59.697991 0 0 1 0
-54.512179 55.677829 -74.631943 63.353445 0 0 1 0
-62.361812 44.80426 -42.497823 50.017151 0 0 1 0
-63.044851 51.416853 -62.640855 54.436942 0 0 1 0
-63.393125 53.266142 -53.533771 64.044356 0 0 1 0
-60.095419 53.736435 -70.286575 65.143665 0 0 1 0
-56.430211 70.741353 -72.598785 70.315085 0 0 1 0
-26.329284 12.405918 0.426732 14.54597 0 0 0 1
2.629664 -15.664829 12.247466 6.380714 0 0 0 1
-15.182747 2.098403 3.527329 11.350755 0 0 0 1
0.483406 2.502468 11.085951 7.224559 0 0 0 1
-9.362146 0.378591 -2.274231 6.327777 0 0 0 1
-6.383811 -15.508386 5.422119 4.722638 0 0 0 1
-15.102127 -10.050022 2.07225 12.08982 0 0 0 1
-3.011271 -4.287834 10.050891 15.538466 0 0 0 1
5.701337 -14.247357 21.691815 2.97948 0 0 0 1
-13.28408 -4.252865 1.563675 8.704221 0 0 0 1
-19.267447 8.420025 5.687055 10.158641 0 0 0 1
-8.287068 4.569275 4.26588 9.241972 0 0 0 1
-10.27927 -2.37437 13.143176 9.000185 0 0 0 1
-19.807265 -14.813342 6.151604 8.499544 0 0 0 1
-34.58814 3.312833 8.239687 12.344539 0 0 0 1
-8.574021 -0.641235 6.62633 11.430845 0 0 0 1
-7.558999 18.339995 3.1557 10.838474 0 0 0 1
-8.398144 -7.755621 1.542283 14.093449 0 0 0 1
-1.587968 9.006592 -2.192501 15.247837 0 0 0 1
4.087124 -11.366073 7.491844 8.064028 0 0 0 1
-3.001086 -3.951498 13.545564 12.094271 0 0 0 1
-10.025729 -13.730007 10.938948 16.78489 0 0 0 1
-5.197469 -22.784768 10.561734 8.754893 0 0 0 1
-16.653957 -2.487664 -0.556711 13.495347 0 0 0 1
-18.25909 6.387721 6.136224 11.912485 0 0 0 1
-6.41726 -6.463238 11.297692 6.652853 0 0 0 1
-32.347652 21.877222 -6.099116 9.118915 0 0 0 1
-2.245369 -3.323623 -0.706431 11.285324 0 0 0 1
-2.033852 -16.615753 9.891088 12.119075 0 0 0 1
-3.334842 8.551831 5.174434 10.186344 0 0 0 1
-9.875601 14.583497 -6.122592 15.856131 0 0 0 1
-0.235673 -7.166089 6.115676 11.716988 0 0 0 1
-15.785211 24.217038 -1.217935 17.803578 0 0 0 1
9.566648 -2.399394 16.913683 6.124837 0 0 0 1
-10.073565 -9.823135 0.577577 12.056615 0 0 0 1
-13.64987 12.564097 8.539526 9.16838 0 0 0 1
-7.639576 12.264411 3.345181 11.562203 0 0 0 1
-12.413669 -2.8438 7.285925 9.445217 0 0 0 1
-14.177946 5.88788 3.019902 11.335602 0 0 0 1
2.740165 -17.712495 16.91626 6.693448 0 0 0 1
-9.550618 -10.237841 12.242871 4.553243 0 0 0 1
-26.054131 6.086859 1.447549 13.864634 0 0 0 1
-5.78458 2.108103 9.995548 8.694618 0 0 0 1
-19.638059 -6.421005 -6.646263 12.414796 0 0 0 1
11.669158 -10.633848 20.804006 6.797953 0 0 0 1
-6.353976 -28.210052 12.011192 6.749944 0 0 0 1
-9.648454 7.259051 10.372798 10.635322 0 0 0 1
-3.515529 -14.136525 10.116554 5.05942 0 0 0 1
-8.473754 -18.093435 6.540331 7.746304 0 0 0 1
-16.022826 -8.228052 -6.387867 10.336378 0 0 0 1
67.234245 58.851351 -58.925349 -59.860817 0 0 0 1
61.64552 68.169462 -51.017283 -59.990244 0 0 0 1
75.547773 49.331663 -52.701154 -60.679687 0 0 0 1
71.490747 33.725861 -50.91803 -59.812484 0 0 0 1
57.023305 67.48446 -56.886944 -61.65852 0 0 0 1
68.682671 39.759826 -46.931907 -61.560763 0 0 0 1
60.250805 34.820749 -50.889041 -65.529545 0 0 0 1
65.094073 57.599406 -51.195435 -64.111003 0 0 0 1
61.713065 47.714465 -52.613178 -65.366665 0 0 0 1
44.797055 69.588013 -65.555233 -54.985583 0 0 0 1
61.216992 57.203754 -56.162953 -62.204132 0 0 0 1
58.976197 55.548882 -56.092068 -62.109189 0 0 0 1
59.689655 66.74894 -65.453835 -59.449604 0 0 0 1
53.747158 57.675391 -58.555212 -59.835581 0 0 0 1
59.24311 51.175403 -49.496641 -63.947853 0 0 0 1
50.052033 68.072228 -55.580963 -61.342566 0 0 0 1
63.525222 58.873559 -52.949876 -64.79837 0 0 0 1
53.977018 70.442676 -53.919664 -55.625242 0 0 0 1
70.515237 54.28443 -42.322832 -66.473429 0 0 0 1
76.350266 38.471168 -41.777771 -67.661478 0 0 0 1
60.847363 67.163372 -70.19694 -60.186849 0 0 0 1
68.991632 55.106607 -55.672787 -63.706712 0 0 0 1
66.13188 40.284702 -50.935409 -69.306918 0 0 0 1
55.118879 47.850005 -51.322183 -62.852793 0 0 0 1
53.56897 50.484659 -61.318389 -62.421922 0 0 0 1
56.930846 35.603687 -52.526899 -65.799516 0 0 0 1
70.689455 49.092943 -54.722682 -58.456049 0 0 0 1
52.63981 54.161341 -54.718454 -62.132507 0 0 0 1
57.26639 46.780125 -48.136664 -63.877175 0 0 0 1
61.314631 57.218012 -54.954481 -62.599759 0 0 0 1
58.063254 48.251471 -63.740347 -61.018984 0 0 0 1
71.086591 62.204201 -54.973955 -68.9593 0 0 0 1
67.270343 50.477765 -50.018707 -67.594316 0 0 0 1
66.225361 45.707291 -49.962142 -68.893241 0 0 0 1
52.479965 61.401829 -56.676109 -62.499988 0 0 0 1
72.746871 36.045022 -53.290082 -62.038053 0 0 0 1
61.10118 64.642108 -65.04758 -58.623454 0 0 0 1
63.742994 64.415735 -47.39673 -63.376168 0 0 0 1
69.249679 46.640994 -57.263951 -60.290612 0 0 0 1
45.729364 58.025972 -65.449908 -55.829557 0 0 0 1
57.702586 39.689859 -57.190181 -64.577631 0 0 0 1
69.144646 53.404004 -44.228766 -67.368663 0 0 0 1
65.673586 56.818419 -61.685134 -61.08649 0 0 0 1
51.107041 60.692628 -50.139372 -58.607589 0 0 0 1
70.563709 60.134189 -55.057035 -60.82275 0 0 0 1
67.369882 69.669053 -52.131662 -57.625525 0 0 0 1
54.939106 48.667023 -52.606952 -56.709197 0 0 0 1
58.825191 41.177592 -50.191859 -70.156643 0 0 0 1
76.05893 36.742889 -47.350065 -68.644724 0 0 0 1
59.15345 50.589936 -61.921672 -60.144131 0 0 0 1
1.405929 9.170766 4.850265 19.166651 1 0 0 0
-1.69218 11.556541 7.055709 10.761591 1 0 0 0
6.269966 6.197654 0.823741 12.822396 1 0 0 0
31.466584 -3.668346 1.262489 11.738402 1 0 0 0
-0.416853 0.539699 7.707918 7.358779 1 0 0 0
7.449334 5.605224 9.230926 10.520558 1 0 0 0
1.618436 13.546693 11.259493 12.378937 1 0 0 0
23.339394 -10.580716 8.214491 8.084183 1 0 0 0
6.496532 0.757908 5.783266 -4.322917 1 0 0 0
6.432806 0.621304 5.396911 14.819996 1 0 0 0
24.460579 0.189043 3.196261 19.368216 1 0 0 0
11.190111 -0.569987 5.943642 2.129115 1 0 0 0
21.213896 -2.996064 2.046592 6.243473 1 0 0 0
4.118703 11.409037 9.611911 25.885861 1 0 0 0
17.222321 0.847161 5.208941 7.593889 1 0 0 0
13.033052 15.516115 8.000684 17.235742 1 0 0 0
-6.18325 3.651762 9.549948 22.642217 1 0 0 0
9.493894 8.056829 10.594915 6.753711 1 0 0 0
0.56304 1.931712 3.540984 16.896045 1 0 0 0
21.665447 9.087326 3.7022 4.169167 1 0 0 0
-3.191129 4.576098 6.186655 11.503648 1 0 0 0
30.873806 1.50925 3.687446 7.583731 1 0 0 0
-3.553327 12.706176 4.640067 8.689768 1 0 0 0
-0.540113 8.075373 6.646566 3.729651 1 0 0 0
5.873111 6.073384 3.486671 5.376801 1 0 0 0
6.326185 18.236441 10.73727 26.445439 1 0 0 0
-11.932049 18.051909 10.196058 27.569984 1 0 0 0
3.957815 10.159384 10.603739 22.989437 1 0 0 0
3.966608 8.987055 9.441619 18.318973 1 0 0 0
32.058326 -6.304473 -2.667592 -3.145002 1 0 0 0
10.388342 5.674933 3.463479 8.348904 1 0 0 0
-1.777402 -0.562685 3.417947 12.090962 1 0 0 0
11.275677 0.169235 1.299588 17.371905 1 0 0 0
0.513897 10.099017 2.233454 4.695918 1 0 0 0
-4.550007 12.269766 7.272396 20.316766 1 0 0 0
31.898782 1.35941 -0.723931 2.213643 1 0 0 0
11.59915 -1.676389 3.682763 4.821727 1 0 0 0
6.371863 11.107321 2.708877 7.439116 1 0 0 0
15.824955 -4.57151 1.439756 16.824737 1 0 0 0
-10.460961 13.589695 9.137638 19.01465 1 0 0 0
1.288048 1.238662 2.548818 3.804489 1 0 0 0
8.096609 8.207135 8.553206 19.000798 1 0 0 0
5.927538 3.38443 10.134173 5.733361 1 0 0 0
-0.181897 3.757469 5.867981 4.211523 1 0 0 0
2.539299 15.48834 10.184003 18.063035 1 0 0 0
28.273994 -0.284361 3.416243 8.959974 1 0 0 0
26.689748 -1.899097 3.985973 11.516687 1 0 0 0
18.285129 -4.380666 8.14235 13.47528 1 0 0 0
4.57039 17.896084 10.079848 27.276316 1 0 0 0
5.493714 5.723666 4.379981 9.489788 1 0 0 0
-52.786779 -62.797978 -56.052869 -64.789091 1 0 0 0
-67.541572 -54.865845 -58.242439 -56.978604 1 0 0 0
-66.315285 -52.154695 -55.078554 -39.254714 1 0 0 0
-61.047417 -56.392717 -52.008552 -46.124518 1 0 0 0
-71.61872 -44.298224 -47.952087 -50.357905 1 0 0 0
-54.945003 -59.657007 -58.323956 -55.459539 1 0 0 0
-58.165988 -53.456962 -52.256582 -61.844739 1 0 0 0
-45.537741 -53.225935 -62.882286 -69.704398 1 0 0 0
-80.504998 -41.690981 -48.871616 -39.920679 1 0 0 0
-68.885904 -51.267806 -58.502614 -60.61243 1 0 0 0
-66.637445 -46.745439 -53.341995 -61.279435 1 0 0 0
-58.228923 -58.153842 -55.775638 -61.457377 1 0 0 0
-35.820168 -59.166215 -63.162699 -79.946872 1 0 0 0
-63.289402 -43.831623 -51.0436 -44.769684 1 0 0 0
-51.702723 -61.416782 -60.701766 -66.152097 1 0 0 0
-29.813388 -67.858054 -60.138943 -66.162765 1 0 0 0
-44.095574 -62.145177 -60.745651 -82.033396 1 0 0 0
