animal, hair, feathers, eggs, milk, airborne, aquatic, predator, toothed, backbone, breathes, venomous, fins, legs, tail, domestic, catsize, type
0 0 1 0 1 0 1 0 0 1 0 0 6 0 0 0 6 ladybird
0 1 1 0 1 0 0 0 1 1 0 0 2 1 0 0 2 lark
1 0 0 1 0 0 1 1 1 1 0 0 4 1 0 1 1 leopard
1 0 0 1 0 0 1 1 1 1 0 0 4 1 0 1 1 lion
0 0 1 0 0 1 1 0 0 0 0 0 6 0 0 0 7 lobster
1 0 0 1 0 0 1 1 1 1 0 0 4 1 0 1 1 lynx
1 0 0 1 0 1 1 1 1 1 0 0 4 1 0 1 1 mink
1 0 0 1 0 0 1 1 1 1 0 0 4 1 0 0 1 mole
1 0 0 1 0 0 1 1 1 1 0 0 4 1 0 1 1 mongoose
1 0 1 0 1 0 0 0 0 1 0 0 6 0 0 0 6 moth
0 0 1 0 0 1 1 1 1 1 0 0 4 1 0 0 5 newt
0 0 1 0 0 1 1 0 0 0 0 0 8 0 0 1 7 octopus
1 0 0 1 0 0 1 1 1 1 0 0 4 1 0 0 1 opossum
1 0 0 1 0 0 0 1 1 1 0 0 4 1 0 1 1 oryx
0 1 1 0 0 0 0 0 1 1 0 0 2 1 0 1 2 ostrich
0 1 1 0 1 0 0 0 1 1 0 0 2 1 1 0 2 parakeet
0 1 1 0 0 1 1 0 1 1 0 0 2 1 0 1 2 penguin
0 1 1 0 1 0 0 0 1 1 0 0 2 1 0 0 2 pheasant
0 0 1 0 0 1 1 1 1 0 0 1 0 1 0 1 4 pike
0 0 1 0 0 1 1 1 1 0 0 1 0 1 0 0 4 piranha
0 0 1 0 0 0 1 1 1 1 1 0 0 1 0 0 3 pitviper
1 0 1 1 0 1 1 0 1 1 0 0 4 1 0 1 1 platypus
1 0 0 1 0 0 1 1 1 1 0 0 4 1 0 1 1 polecat
1 0 0 1 0 0 0 1 1 1 0 0 4 1 1 1 1 pony
0 0 0 1 0 1 1 1 1 1 0 1 0 1 0 1 1 porpoise
1 0 0 1 0 0 1 1 1 1 0 0 4 1 0 1 1 puma
1 0 0 1 0 0 1 1 1 1 0 0 4 1 1 1 1 pussycat
1 0 0 1 0 0 1 1 1 1 0 0 4 1 0 1 1 raccoon
1 0 0 1 0 0 0 1 1 1 0 0 4 1 1 1 1 reindeer
0 1 1 0 0 0 1 0 1 1 0 0 2 1 0 1 2 rhea
0 0 0 0 0 0 1 0 0 1 1 0 8 1 0 0 7 scorpion
0 0 1 0 0 1 0 1 1 0 0 1 0 1 0 0 4 seahorse
1 0 0 1 0 1 1 1 1 1 0 1 0 0 0 1 1 seal
1 0 0 1 0 1 1 1 1 1 0 1 2 1 0 1 1 sealion
0 0 0 0 0 1 1 1 1 0 1 0 0 1 0 0 3 seasnake
0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 7 seawasp
0 1 1 0 1 1 1 0 1 1 0 0 2 1 0 0 2 skimmer
0 1 1 0 1 1 1 0 1 1 0 0 2 1 0 0 2 skua
0 0 1 0 0 0 1 1 1 1 0 0 0 1 0 0 3 slowworm
0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 7 slug
0 0 1 0 0 1 0 1 1 0 0 1 0 1 0 0 4 sole
0 1 1 0 1 0 0 0 1 1 0 0 2 1 0 0 2 sparrow
1 0 0 1 0 0 0 1 1 1 0 0 2 1 0 0 1 squirrel
0 0 1 0 0 1 1 0 0 0 0 0 5 0 0 0 7 starfish
0 0 1 0 0 1 1 1 1 0 1 1 0 1 0 1 4 stingray
0 1 1 0 1 1 0 0 1 1 0 0 2 1 0 1 2 swan
0 0 1 0 0 0 0 0 0 1 0 0 6 0 0 0 6 termite
0 0 1 0 0 1 0 1 1 1 0 0 4 0 0 0 5 toad
0 0 1 0 0 0 0 0 1 1 0 0 4 1 0 1 3 tortoise
0 0 1 0 0 0 1 1 1 1 0 0 4 1 0 0 3 tuatara
0 0 1 0 0 1 1 1 1 0 0 1 0 1 0 1 4 tuna
1 0 0 1 1 0 0 1 1 1 0 0 2 1 0 0 1 vampire
1 0 0 1 0 0 0 1 1 1 0 0 4 1 0 0 1 vole
0 1 1 0 1 0 1 0 1 1 0 0 2 1 0 1 2 vulture
1 0 0 1 0 0 0 1 1 1 0 0 2 1 0 1 1 wallaby
1 0 1 0 1 0 0 0 0 1 1 0 6 0 0 0 6 wasp
1 0 0 1 0 0 1 1 1 1 0 0 4 1 0 1 1 wolf
0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 7 worm
0 1 1 0 1 0 0 0 1 1 0 0 2 1 0 0 2 wren
