A B C D classA classB
3.983 -1.711 -1.043 -4.207 1 0
1.74 -4.005 4.186 -1.243 1 0
4.184 -1.355 4.396 -0.134 1 0
3.205 -3.056 4.379 -0.663 1 0
1.45 -4.218 1.935 -4.019 1 0
1.13 -4.347 3.606 2.678 1 0
3.38 -3.006 4.226 -1.613 1 0
2.298 -3.933 3.52 -2.89 1 0
3.139 -3.343 4.284 1.638 1 0
1.642 -4.316 4.481 -1.114 1 0
4.54 -0.999 0.794 -4.581 1 0
2.504 -3.954 2.902 -3.672 1 0
3.671 -2.953 4.677 -0.571 1 0
4.639 -0.988 3.771 2.877 1 0
1.472 4.542 4.68 -0.947 1 0
3.364 3.432 3.95 -2.738 1 0
-1.455 -0.871 -1.529 -0.734 0 1
-1.246 -1.196 -1.711 0.233 0 1
-1.476 0.956 -1.733 -0.302 0 1
-1.771 -0.259 -1.407 -1.107 0 1
-1.581 -0.905 -1.442 1.113 0 1
-1.661 -0.821 -0.727 -1.704 0 1
-1.854 -0.337 -1.844 -0.386 0 1
-1.888 -0.327 -1.91 -0.145 0 1
-1.931 -0.253 -1.873 -0.532 0 1
-1.928 -0.444 -1.326 -1.468 0 1
-2.009 0.056 -1.731 1.022 0 1
-1.379 -1.505 -0.828 -1.866 0 1
-1.985 -0.597 -1.928 -0.76 0 1
-1.745 -1.176 -0.358 -2.074 0 1
-0.219 -2.124 0.64 -2.037 0 1
-1.001 -1.922 -0.224 -2.155 0 1
-1.202 -1.841 -1.517 -1.591 0 1
-0.021 -2.23 0.612 -2.144 0 1
0.379 -2.229 -1.847 -1.305 0 1
-0.705 -2.182 -0.396 -2.258 0 1
1.327 -1.908 0.143 -2.32 0 1
-1.071 -2.098 -1.824 -1.491 0 1
0.408 -2.352 -0.843 -2.233 0 1
-0.774 -2.291 -2.203 -0.998 0 1
0.219 -2.44 -0.795 -2.317 0 1
-1.041 -2.252 -2.037 -1.417 0 1
-1.991 -1.533 1.723 -1.829 0 1
-0.908 -2.376 0.64 -2.462 0 1
-1.479 -2.109 0.253 -2.563 0 1
-0.654 -2.524 0.483 -2.562 0 1
1.122 -2.388 1.399 -2.237 0 1
0.24 -2.659 1.462 -2.234 0 1
0.879 -2.554 0.707 -2.607 0 1
1.982 -1.881 -0.519 -2.683 0 1
1.174 -2.502 2.534 -1.104 0 1
1.487 -2.367 0.643 -2.72 0 1
2.514 -1.292 1.096 -2.606 0 1
2.269 -1.738 2.514 -1.36 0 1
2.358 -1.67 2.884 -0.186 0 1
1.53 -2.488 2.106 -2.024 0 1
2.902 -0.544 2.685 -1.228 0 1
2.976 -0.219 1.679 -2.467 0 1
1.114 -2.802 2.507 -1.675 0 1
1.545 -2.626 2.254 -2.05 0 1
1.792 -2.502 2.619 -1.618 0 1
2.711 1.522 3.055 0.582 0 1
1.407 -2.808 2.484 1.923 0 1
1.556 -2.764 2.815 -1.463 0 1
2.465 -2.047 3.053 -0.971 0 1
3.231 0.155 3.18 -0.597 0 1
3.26 -0.215 3.165 -0.809 0 1
2.747 -1.825 1.961 2.651 0 1
3.329 -0.035 3.1 -1.215 0 1
2.053 2.661 3.2 1.028 0 1
3.39 0.127 3.384 0.24 0 1
2.942 1.751 2.48 2.36 0 1
2.133 2.718 1.31 3.197 0 1
3.18 1.43 3.456 0.46 0 1
0.733 3.441 1.309 3.265 0 1
2.907 2.037 2.904 2.041 0 1
3.573 0.235 3.026 1.915 0 1
1.203 3.406 3.609 -0.158 0 1
-0.062 3.643 3.326 1.489 0 1
2.106 3.012 3.484 1.169 0 1
3.513 1.182 2.853 2.366 0 1
3.021 2.201 1.259 3.519 0 1
3.381 1.667 3.709 0.671 0 1
1.364 3.548 1.245 3.591 0 1
2.394 2.992 -0.053 3.832 0 1
0.896 3.758 -2.724 2.74 0 1
1.269 3.683 -2.034 3.322 0 1
-0.198 3.921 2.574 2.965 0 1
2.774 2.823 -3.03 2.546 0 1
-3.378 2.122 0.714 3.925 0 1
2.279 3.312 -0.991 3.896 0 1
-1.046 3.915 1.78 3.64 0 1
-2.268 3.395 -2.902 2.873 0 1
-3.846 1.463 0.998 3.992 0 1
-3.288 2.527 0.144 4.144 0 1
-1.056 4.042 2.441 3.39 0 1
0.084 4.208 -0.054 4.209 0 1
-3.243 2.732 0.273 4.232 0 1
-1.981 3.785 1.947 3.803 0 1
0.235 4.297 -3.563 2.413 0 1
-2.811 3.3 -0.589 4.295 0 1
-4.122 1.441 -3.655 2.388 0 1
-3.289 2.919 -1.199 4.231 0 1
-1.574 4.14 -3.061 3.201 0 1
-4.431 0.509 -3.206 3.101 0 1
-2.75 3.552 -0.906 4.4 0 1
-4.467 0.711 -2.56 3.729 0 1
-0.891 4.467 -4.551 -0.191 0 1
-2.601 3.777 -2.83 3.609 0 1
-4.589 0.508 -3.717 2.739 0 1
-3.926 2.489 -4.638 -0.317 0 1
-4.641 -0.603 -3.804 2.727 0 1
-4.468 1.497 -4.424 1.622 0 1
-3.422 3.284 -4.685 0.739 0 1
-4.048 2.533 -4.653 1.068 0 1
-2.815 -3.895 -4.759 0.672 0 1
1.506 -0.78 1.652 0.383 1 0
1.306 1.131 1.539 -0.783 1 0
1.463 -0.976 1.71 -0.41 1 0
1.675 -0.631 1.787 0.109 1 0
1.809 -0.211 1.295 1.281 1 0
1.849 0.113 0.848 1.647 1 0
1.839 0.413 1.87 0.23 1 0
1.39 1.319 0.357 1.882 1 0
0.994 1.675 0.506 1.88 1 0
0.699 1.851 1.559 1.219 1 0
1.767 0.957 0.517 1.942 1 0
1.193 1.656 0.2 2.032 1 0
1.545 1.381 1.458 1.473 1 0
1.705 1.233 1.852 0.999 1 0
2.112 -0.319 2.053 0.587 1 0
1.66 1.393 1.644 1.412 1 0
-0.143 2.194 0.406 2.161 1 0
1.299 1.812 0.349 2.202 1 0
1.5 1.692 0.791 2.119 1 0
-1.002 2.062 -0.262 2.278 1 0
-0.302 2.304 1.947 1.27 1 0
-1.104 2.081 0.033 2.355 1 0
2.296 0.654 0.376 2.357 1 0
-0.909 2.241 1.314 2.03 1 0
-0.012 2.45 0.148 2.445 1 0
-0.519 2.426 -0.709 2.378 1 0
0.418 2.478 -1.18 2.218 1 0
-0.385 2.515 0.438 2.506 1 0
-0.107 2.573 1.503 2.092 1 0
0.199 2.599 -1.922 1.761 1 0
0.863 2.493 -0.427 2.603 1 0
-1.11 2.428 -2.428 1.111 1 0
-2.11 1.687 -0.989 2.513 1 0
0.376 2.707 0.364 2.708 1 0
-0.879 2.62 -0.908 2.61 1 0
-0.345 2.774 -0.446 2.76 1 0
-1.375 2.47 -0.395 2.799 1 0
-1.809 2.213 -1.784 2.233 1 0
-2.889 -0.041 -1.968 2.116 1 0
-2.91 -0.255 -2.638 1.254 1 0
-2.933 0.337 -1.992 2.179 1 0
-2.797 1.04 -2.981 0.138 1 0
-1.925 2.32 -2.687 1.369 1 0
-1.017 2.872 -2.984 -0.613 1 0
-3.078 -0.023 -2.708 1.463 1 0
-2.99 0.853 -2.259 2.137 1 0
-2.185 2.256 -1.916 2.489 1 0
-2.854 1.384 -3.141 0.442 1 0
-2.778 1.596 -3.064 -0.935 1 0
-3.231 0.155 -2.325 -2.25 1 0
-1.986 -2.594 -3.19 0.703 1 0
-3.165 0.928 -3.267 -0.452 1 0
-1.862 -2.76 -3.163 1.039 1 0
-2.279 -2.471 -2.976 1.561 1 0
-2.79 -1.929 -0.184 -3.387 1 0
-1.836 -2.89 -0.57 -3.376 1 0
-2.408 -2.478 -3.413 -0.54 1 0
-2.954 -1.853 -3.344 -0.986 1 0
-3.446 -0.706 -2.701 -2.254 1 0
-1.42 -3.253 -3.539 -0.269 1 0
-2.636 -2.424 -2.046 -2.939 1 0
-2.3 -2.786 -2.959 2.072 1 0
-2.343 -2.791 -3.405 -1.297 1 0
-2.131 -2.994 -1.689 -3.264 1 0
-2.954 -2.239 -1.625 -3.331 1 0
-3.627 0.905 -3.13 -2.043 1 0
-2.317 -2.973 0.975 -3.641 1 0
-0.154 -3.798 -3.661 -1.02 1 0
-3.822 0.28 -1.166 -3.65 1 0
-3.515 -1.604 -0.137 -3.861 1 0
-2.58 -2.918 -0.958 -3.775 1 0
-2.723 -2.829 -0.047 -3.926 1 0
2.225 -3.273 -1.843 -3.503 1 0
-2.59 -3.034 1.196 -3.806 1 0
-1.023 -3.888 -1.797 -3.597 1 0
0.297 -4.041 1.035 -3.918 1 0
2.594 -3.154 0.947 -3.972 1 0
-0.705 -4.054 2.983 -2.834 1 0
-1.881 -3.695 -0.362 -4.13 1 0
0.084 -4.177 -0.815 -4.097 1 0
1.774 -3.817 -3.657 -2.083 1 0
0.188 -4.236 2.164 -3.647 1 0
0.033 -4.272 2.905 -3.132 1 0
3.116 -2.969 -1.786 -3.915 1 0
2.77 -3.334 0.99 -4.22 1 0
3.026 -3.147 4.128 1.421 1 0
4.155 -1.44 1.49 -4.137 1 0
3.913 -2.075 1.102 -4.29 1 0
4.097 -1.764 2.779 -3.489 1 0
0.077 -4.491 2.926 -3.408 1 0
2.515 -3.76 4.474 -0.666 1 0
1.87 -4.153 4.469 0.881 1 0
4.104 -2.047 3.852 -2.489 1 0
4.54 -0.842 4.607 -0.315 1 0
4.373 1.578 4.511 1.124 1 0
3.668 -2.907 4.644 -0.585 1 0
4.573 1.135 4.678 0.563 1 0
4.628 1.041 3.899 -2.701 1 0
4.12 -2.414 4.163 2.338 1 0
3.441 3.355 4.576 1.47 1 0
-1.596 0.574 -1.631 0.463 0 1
-1.726 -0.058 -1.41 0.998 0 1
-1.674 -0.54 -1.745 -0.22 0 1
-1.785 -0.139 -1.735 0.441 0 1
-1.614 -0.844 -1.7 -0.654 0 1
-1.694 0.75 -0.659 -1.732 0 1
-1.415 -1.244 -1.326 -1.339 0 1
-1.905 0.205 -1.377 -1.332 0 1
-1.53 -1.204 -1.912 -0.369 0 1
-0.579 -1.892 -1.911 -0.512 0 1
-1.556 -1.272 -1.482 -1.357 0 1
-1.301 -1.573 -2.002 -0.398 0 1
-2.072 -0.064 -0.439 -2.026 0 1
-2.097 0.175 -1.587 -1.382 0 1
-0.185 -2.128 -1.502 -1.518 0 1
-1.269 -1.757 0.98 -1.933 0 1
-1.202 -1.841 -0.355 -2.17 0 1
-0.132 -2.226 -0.407 -2.192 0 1
-2.157 -0.68 -1.501 -1.691 0 1
-0.444 -2.249 -1.346 -1.856 0 1
-1.862 -1.39 0.837 -2.168 0 1
0.969 -2.147 -0.889 -2.181 0 1
-1.03 -2.153 -1.196 -2.066 0 1
0.621 -2.337 -1.473 -1.918 0 1
2.044 -1.351 1.508 -1.931 0 1
0.469 -2.436 -1.101 -2.223 0 1
0.136 -2.509 0.196 -2.505 0 1
-0.859 -2.395 -0.956 -2.358 0 1
0.728 -2.47 1.84 -1.803 0 1
-0.615 -2.533 0.699 -2.511 0 1
0.407 -2.607 -0.307 -2.62 0 1
1.391 -2.279 0.489 -2.625 0 1
-2.016 -1.797 0.084 -2.7 0 1
2.055 -1.801 1.608 -2.209 0 1
2.027 -1.879 -1.378 -2.396 0 1
0.962 -2.625 2.382 -1.462 0 1
2.336 -1.592 2.29 -1.657 0 1
2.492 -1.399 1.369 -2.509 0 1
2.365 -1.661 1.656 -2.368 0 1
2.162 -1.964 2.253 -1.859 0 1
2.417 -1.695 -0.028 -2.952 0 1
2.982 -0.109 2.964 0.34 0 1
2.708 1.325 -0.755 -2.919 0 1
3.018 -0.418 2.831 -1.125 0 1
-0.032 -3.078 3.044 -0.459 0 1
2.809 -1.334 2.042 -2.345 0 1
3.137 -0.153 2.953 1.071 0 1
2.595 -1.825 2.777 -1.534 0 1
3.099 -0.814 3.2 -0.152 0 1
2.217 2.356 3.205 -0.438 0 1
2.924 -1.457 3.005 -1.282 0 1
3.148 -0.984 3.19 -0.837 0 1
3.329 -0.058 2.207 2.492 0 1
2.672 -2.038 3.2 -1.028 0 1
2.107 2.658 2.811 1.899 0 1
3.402 -0.386 2.122 2.686 0 1
3.427 -0.439 3.098 1.529 0 1
2.723 2.177 2.962 1.839 0 1
2.311 2.652 2.113 2.813 0 1
3.472 0.738 3.329 1.232 0 1
2.984 1.979 2.818 2.209 0 1
2.424 2.678 3.338 1.38 0 1
2.649 2.502 -0.102 3.642 0 1
3.5 1.12 0.793 3.589 0 1
0.692 3.641 0.711 3.638 0 1
-1.911 3.213 2.974 2.265 0 1
1.725 3.351 3.749 0.393 0 1
-0.096 3.799 0.595 3.754 0 1
1.275 3.614 2.023 3.255 0 1
-0.317 3.85 0.293 3.852 0 1
1.165 3.717 -1.998 3.344 0 1
2.838 2.713 -0.478 3.897 0 1
-0.869 3.861 0.096 3.957 0 1
0.474 3.961 2.189 3.335 0 1
2.195 3.369 -2.875 2.81 0 1
-3.853 1.255 2.553 3.146 0 1
2.181 3.452 -2.392 3.31 0 1
-0.046 4.115 3.405 2.31 0 1
1.186 3.973 1.783 3.743 0 1
-3.95 1.36 -0.339 4.164 0 1
-2.819 3.125 -2.709 3.221 0 1
1.099 4.096 -1.433 3.991 0 1
-4.172 0.917 -2.505 3.46 0 1
-1.45 4.052 -2.089 3.762 0 1
-0.936 4.233 -1.838 3.926 0 1
-3.29 2.87 -3.095 3.08 0 1
-4.356 0.604 -4.106 1.574 0 1
-3.959 1.985 -3.804 2.269 0 1
-1.92 4.026 -2.13 3.919 0 1
-3.926 2.182 -4.46 0.536 0 1
-2.569 3.723 -3.514 2.848 0 1
-3.872 2.398 -2.731 3.645 0 1
-3.752 2.637 -4.304 1.584 0 1
-4.51 -0.991 -4.104 2.116 0 1
-4.611 -0.596 -4.137 -2.122 0 1
-3.455 3.157 -4.663 0.401 0 1
-2.393 4.059 -3.214 3.446 0 1
-3.737 2.921 -4.458 1.62 0 1
-4.674 -0.976 -3.692 3.028 0 1
-4.106 -2.497 -3.757 2.998 0 1
1.326 1.057 0.854 1.465 1 0
1.645 -0.525 0.834 -1.512 1 0
1.667 0.56 1.745 -0.219 1 0
1.773 -0.245 1.753 0.363 1 0
1.779 0.392 0.921 1.571 1 0
1.623 0.893 1.534 -1.039 1 0
1.733 -0.739 1.263 1.398 1 0
1.834 0.555 1.876 -0.386 1 0
1.558 1.168 1.873 -0.533 1 0
0.705 1.849 1.137 1.619 1 0
1.874 0.727 2.001 0.192 1 0
2.03 0.214 0.852 1.855 1 0
1.388 1.539 1.274 1.635 1 0
2.095 0.191 2.033 0.544 1 0
1.973 0.817 1.328 1.672 1 0
1.632 1.425 0.682 2.057 1 0
1.123 1.89 1.958 1.0 1 0
-0.21 2.22 1.908 1.154 1 0
0.854 2.094 1.431 1.751 1 0
-0.386 2.26 0.792 2.152 1 0
2.16 0.859 -0.668 2.226 1 0
0.953 2.154 0.082 2.354 1 0
1.037 2.15 1.602 1.77 1 0
0.356 2.392 -0.54 2.357 1 0
-0.393 2.418 -1.805 1.656 1 0
0.96 2.288 0.098 2.479 1 0
0.686 2.417 0.643 2.429 1 0
-2.51 0.418 -0.153 2.539 1 0
0.154 2.571 0.82 2.441 1 0
0.958 2.425 -1.028 2.396 1 0
-0.564 2.577 0.97 2.453 1 0
-1.84 1.935 -2.486 0.972 1 0
0.388 2.673 -1.648 2.14 1 0
-0.678 2.647 -2.144 1.694 1 0
-2.231 1.631 -2.342 1.468 1 0
-2.5 1.251 -1.205 2.522 1 0
-2.36 1.556 -2.305 1.637 1 0
-1.774 2.241 -0.726 2.765 1 0
-2.602 1.256 -2.538 1.381 1 0
-2.576 1.377 -2.383 1.689 1 0
-2.864 0.718 -1.695 2.417 1 0
-2.4 1.773 -2.583 1.494 1 0
-2.69 1.361 -2.941 -0.667 1 0
-2.989 0.589 -2.575 1.628 1 0
-1.502 2.687 -2.654 1.559 1 0
-2.966 0.933 -2.651 -1.625 1 0
-3.137 -0.147 -0.291 3.127 1 0
-3.064 -0.824 -3.025 -0.957 1 0
-2.952 -1.246 -3.193 0.266 1 0
-3.226 -0.249 -3.231 0.162 1 0
-3.214 0.585 -2.436 2.177 1 0
-3.296 0.103 -2.802 1.739 1 0
-3.017 1.408 -3.311 -0.35 1 0
-3.228 -0.934 -3.355 0.19 1 0
-2.776 1.949 -3.179 -1.184 1 0
-3.368 -0.614 -3.328 -0.804 1 0
-2.54 -2.343 -3.42 -0.49 1 0
-0.064 -3.486 -3.471 0.326 1 0
-2.463 -2.512 -1.297 -3.27 1 0
-1.945 -2.969 -3.549 0.001 1 0
-3.514 -0.686 -3.016 -1.93 1 0
-3.604 0.248 -2.94 -2.099 1 0
-2.189 -2.912 -3.638 0.201 1 0
-0.896 -3.564 -0.973 -3.544 1 0
1.289 -3.475 -1.638 -3.325 1 0
-1.25 -3.523 -0.301 -3.726 1 0
-2.75 -2.578 -0.817 -3.68 1 0
-3.271 -1.935 -2.555 -2.814 1 0
-2.461 -2.937 0.109 -3.831 1 0
0.251 -3.855 -2.748 -2.715 1 0
0.421 -3.872 0.531 -3.859 1 0
1.157 -3.752 -2.189 -3.259 1 0
1.219 -3.765 -3.338 -2.126 1 0
1.183 -3.81 1.073 -3.842 1 0
-2.219 -3.353 1.371 -3.78 1 0
1.637 -3.707 0.658 -3.998 1 0
0.99 -3.961 1.547 -3.779 1 0
0.344 -4.1 1.505 -3.83 1 0
-0.284 -4.137 2.94 -2.924 1 0
2.127 -3.596 -1.269 -3.98 1 0
1.104 -4.062 3.032 -2.919 1 0
0.945 -4.134 -1.615 -3.921 1 0
3.652 -2.216 0.2 -4.267 1 0
3.745 -2.119 1.308 -4.1 1 0
4.291 -0.612 -2.879 -3.24 1 0
4.079 -1.556 0.288 -4.357 1 0
3.206 -3.01 3.403 -2.786 1 0
-1.545 -4.151 2.689 -3.519 1 0
-1.534 -4.188 4.32 -1.11 1 0
4.405 -0.881 4.454 -0.582 1 0
4.523 -0.02 3.425 -2.955 1 0
3.735 -2.607 3.543 -2.862 1 0
4.172 -1.904 0.49 -4.56 1 0
4.022 2.269 2.914 -3.582 1 0
4.327 -1.7 4.049 -2.284 1 0
3.771 -2.773 1.599 -4.399 1 0
4.108 2.307 4.505 -1.381 1 0
4.735 -0.28 3.394 -3.314 1 0
0.484 -4.75 4.7 0.838 1 0
4.252 2.241 4.783 -0.472 1 0
-1.681 0.227 -1.695 -0.047 0 1
-1.715 0.205 -1.726 -0.055 0 1
-1.756 -0.091 -1.658 -0.586 0 1
-1.666 0.655 -1.326 1.202 0 1
-1.196 -1.374 -1.757 -0.48 0 1
-1.633 -0.875 -1.7 -0.736 0 1
-1.54 -1.086 -1.659 0.894 0 1
-1.4 -1.307 -1.672 0.936 0 1
-1.855 -0.592 -0.626 -1.844 0 1
-1.659 -1.078 -1.731 -0.958 0 1
-1.894 -0.673 -0.14 -2.005 0 1
0.103 -2.039 -1.817 -0.931 0 1
-1.136 -1.734 -1.638 -1.27 0 1
-0.892 -1.906 -2.072 -0.368 0 1
-1.802 -1.147 -2.009 0.725 0 1
-1.812 -1.188 -0.948 -1.949 0 1
0.546 -2.13 -2.047 -0.801 0 1
-1.305 -1.808 -0.192 -2.222 0 1
0.32 -2.238 0.112 -2.258 0 1
-1.148 -1.984 -1.256 -1.918 0 1
-0.604 -2.244 -1.25 -1.959 0 1
-0.096 -2.354 -0.327 -2.333 0 1
-0.121 -2.384 -1.203 -2.061 0 1
-1.553 -1.853 -2.113 -1.176 0 1
-0.129 -2.446 -0.811 -2.312 0 1
-0.322 -2.46 1.522 -1.959 0 1
-1.496 -2.019 0.625 -2.434 0 1
-1.904 -1.687 -0.498 -2.495 0 1
2.332 -1.094 0.509 -2.525 0 1
0.064 -2.606 2.154 -1.468 0 1
2.205 -1.449 1.809 -1.921 0 1
0.983 -2.482 2.605 -0.586 0 1
1.099 -2.468 0.52 -2.651 0 1
2.104 -1.743 1.569 -2.237 0 1
2.172 -1.709 2.329 -1.488 0 1
2.389 -1.452 2.088 -1.859 0 1
1.784 -2.192 -1.1 -2.604 0 1
2.391 -1.565 0.764 -2.754 0 1
2.477 1.489 1.598 -2.408 0 1
1.351 -2.59 2.736 -1.023 0 1
0.772 -2.85 2.932 -0.343 0 1
2.29 -1.913 2.935 0.539 0 1
2.783 -1.159 2.902 -0.82 0 1
2.937 -0.809 2.491 -1.754 0 1
2.48 -1.824 2.649 -1.568 0 1
2.754 -1.444 2.684 -1.57 0 1
1.731 -2.621 2.676 1.645 0 1
2.656 -1.735 2.989 -1.063 0 1
1.446 -2.859 2.321 2.209 0 1
2.305 -2.271 2.985 1.248 0 1
3.15 -0.865 2.531 -2.065 0 1
3.148 -0.983 2.302 2.362 0 1
3.293 -0.49 2.864 1.698 0 1
3.187 1.068 3.359 0.099 0 1
2.452 2.344 3.375 -0.34 0 1
3.322 0.829 3.381 -0.538 0 1
3.322 0.949 3.298 -1.03 0 1
3.456 0.459 3.089 1.617 0 1
3.149 1.568 3.406 0.881 0 1
2.284 2.717 3.232 -1.466 0 1
3.002 1.951 2.993 1.965 0 1
3.283 1.506 3.386 1.258 0 1
2.903 2.203 2.704 2.443 0 1
1.845 3.178 0.387 3.655 0 1
2.745 2.49 0.045 3.706 0 1
2.917 2.337 3.205 1.923 0 1
0.854 3.671 2.172 3.08 0 1
1.477 3.502 3.698 -0.877 0 1
0.967 3.708 -0.166 3.828 0 1
3.725 1.023 0.151 3.861 0 1
1.443 3.618 -3.121 2.331 0 1
2.678 2.871 0.426 3.903 0 1
1.353 3.719 -0.509 3.925 0 1
1.799 3.561 -0.994 3.863 0 1
-0.179 4.017 -2.53 3.125 0 1
-1.747 3.656 2.358 3.295 0 1
0.097 4.082 2.834 2.94 0 1
1.541 3.815 0.782 4.04 0 1
-0.189 4.142 1.456 3.882 0 1
-1.956 3.692 -2.574 3.29 0 1
-3.039 2.912 -2.753 3.184 0 1
-4.094 1.107 -0.971 4.128 0 1
-1.241 4.088 0.205 4.267 0 1
-1.503 4.032 -2.365 3.595 0 1
1.655 4.006 -3.839 2.013 0 1
-2.934 3.233 2.187 3.779 0 1
-3.646 2.459 -4.257 1.103 0 1
-3.832 2.221 -3.533 2.671 0 1
-2.066 3.953 -3.917 2.134 0 1
-3.42 2.912 -2.637 3.636 0 1
-3.63 2.699 -3.577 2.769 0 1
-4.5 0.705 -4.555 -0.022 0 1
-3.299 3.186 -3.85 2.492 0 1
-4.614 0.166 -3.84 2.564 0 1
-2.899 3.635 -4.631 0.411 0 1
-4.571 1.005 -4.559 -1.058 0 1
-1.926 4.3 -2.908 -3.707 0 1
-4.586 1.213 -4.691 -0.7 0 1
-3.957 2.672 -4.341 -1.988 0 1
-4.227 2.287 -4.28 2.187 0 1
1.147 1.249 1.369 1.001 1 0
1.624 0.589 1.658 -0.484 1 0
1.639 -0.637 1.759 -0.006 1 0
1.328 1.201 1.733 0.447 1 0
1.795 -0.31 1.739 0.543 1 0
1.823 -0.329 1.718 0.694 1 0
1.711 -0.79 1.183 1.467 1 0
1.285 1.421 0.644 1.804 1 0
0.995 1.673 1.94 -0.166 1 0
1.89 0.584 1.809 0.801 1 0
1.866 0.748 1.056 1.71 1 0
1.938 -0.643 1.301 1.573 1 0
1.812 1.007 1.959 0.678 1 0
1.717 -1.217 1.536 1.439 1 0
0.569 2.058 1.593 1.423 1 0
1.066 1.887 1.679 1.37 1 0
2.173 0.332 1.956 1.004 1 0
1.764 1.365 1.502 1.648 1 0
0.061 2.26 2.074 0.901 1 0
1.353 1.851 2.028 1.07 1 0
-1.034 2.081 -0.265 2.309 1 0
-0.335 2.332 1.117 2.074 1 0
1.379 1.948 0.32 2.365 1 0
2.325 0.664 2.062 1.264 1 0
-0.469 2.404 1.316 2.066 1 0
2.32 0.88 2.319 0.882 1 0
1.722 1.829 1.053 2.281 1 0
-0.298 2.526 -0.369 2.517 1 0
-2.563 0.258 -2.348 1.057 1 0
-0.968 2.421 1.123 2.353 1 0
-0.477 2.595 -1.411 2.229 1 0
-2.127 1.614 -1.06 2.45 1 0
-1.215 2.412 -0.725 2.602 1 0
-2.488 1.129 -1.037 2.528 1 0
0.194 2.757 -1.837 2.065 1 0
-2.389 1.452 -2.555 1.135 1 0
-0.587 2.765 -2.438 1.431 1 0
