A, B, C, D, Label
 -2.981,  -0.140,  -2.933,   0.548, classA
 -1.999,   2.258,  -1.926,   2.320, classA
 -2.992,  -0.574,  -1.451,   2.679, classA
 -2.309,   2.035,  -3.052,   0.402, classA
 -2.521,   1.821,  -2.734,  -1.481, classA
 -3.049,   0.754,  -3.087,   0.579, classA
 -3.086,   0.736,  -3.001,   1.030, classA
 -3.093,   0.835,  -2.997,   1.132, classA
 -1.612,   2.805,  -3.053,  -1.070, classA
 -3.195,   0.679,  -3.207,  -0.621, classA
 -2.947,  -1.481,  -3.092,   1.147, classA
 -2.343,   2.365,  -3.268,  -0.638, classA
 -3.228,  -0.935,  -1.638,  -2.935, classA
 -3.277,  -0.875,  -3.370,   0.391, classA
 -3.414,   0.262,  -2.674,  -2.138, classA
 -3.454,  -0.086,  -3.453,  -0.111, classA
 -3.401,  -0.767,  -3.414,   0.706, classA
 -0.158,  -3.514,  -2.617,  -2.351, classA
 -3.491,  -0.638,  -1.821,  -3.046, classA
 -3.458,  -0.930,  -3.423,  -1.052, classA
 +0.970,  -3.480,  -3.512,   0.843, classA
 -2.271,  -2.849,  +0.081,  -3.643, classA
 -3.675,  -0.019,  -1.338,  -3.423, classA
 -1.451,  -3.411,  -3.688,  -0.373, classA
 -2.843,  -2.427,  +1.369,  -3.478, classA
 -1.219,  -3.567,  -3.029,  -2.243, classA
 -2.954,  -2.392,  -2.318,  -3.012, classA
 -0.102,  -3.831,  -2.087,  -3.214, classA
 -2.648,  -2.813,  -0.053,  -3.863, classA
 -1.679,  -3.515,  -3.083,  -2.381, classA
 -1.037,  -3.787,  -0.636,  -3.874, classA
 -0.741,  -3.888,  +1.578,  -3.629, classA
 +2.376,  -3.205,  +1.200,  -3.804, classA
 +1.256,  -3.819,  +2.872,  -2.813, classA
 +0.969,  -3.934,  +3.514,  -2.018, classA
 +2.117,  -3.492,  +0.113,  -4.082, classA
 -0.009,  -4.115,  +3.019,  -2.796, classA
 -2.379,  -3.396,  +1.895,  -3.688, classA
 +1.214,  -3.997,  -1.596,  -3.861, classA
 +1.821,  -3.795,  -3.040,  -2.911, classA
 +1.988,  -3.745,  +0.454,  -4.216, classA
 +2.731,  -3.285,  +2.407,  -3.529, classA
 +2.915,  -3.166,  +3.204,  -2.873, classA
 +3.983,  -1.711,  -1.043,  -4.207, classA
 +1.740,  -4.005,  +4.186,  -1.243, classA
 +4.184,  -1.355,  +4.396,  -0.134, classA
 +3.205,  -3.056,  +4.379,  -0.663, classA
 +1.450,  -4.218,  +1.935,  -4.019, classA
 +1.130,  -4.347,  +3.606,   2.678, classA
 +3.380,  -3.006,  +4.226,  -1.613, classA
 +2.298,  -3.933,  +3.520,  -2.890, classA
 +3.139,  -3.343,  +4.284,   1.638, classA
 +1.642,  -4.316,  +4.481,  -1.114, classA
 +4.540,  -0.999,  +0.794,  -4.581, classA
 +2.504,  -3.954,  +2.902,  -3.672, classA
 +3.671,  -2.953,  +4.677,  -0.571, classA
 +4.639,  -0.988,  +3.771,   2.877, classA
 +1.472,   4.542,  +4.680,  -0.947, classA
 +3.364,   3.432,  +3.950,  -2.738, classA
 -1.455,  -0.871,  -1.529,  -0.734, classB
 -1.246,  -1.196,  -1.711,   0.233, classB
 -1.476,   0.956,  -1.733,  -0.302, classB
 -1.771,  -0.259,  -1.407,  -1.107, classB
 -1.581,  -0.905,  -1.442,   1.113, classB
 -1.661,  -0.821,  -0.727,  -1.704, classB
 -1.854,  -0.337,  -1.844,  -0.386, classB
 -1.888,  -0.327,  -1.910,  -0.145, classB
 -1.931,  -0.253,  -1.873,  -0.532, classB
 -1.928,  -0.444,  -1.326,  -1.468, classB
 -2.009,   0.056,  -1.731,   1.022, classB
 -1.379,  -1.505,  -0.828,  -1.866, classB
 -1.985,  -0.597,  -1.928,  -0.760, classB
 -1.745,  -1.176,  -0.358,  -2.074, classB
 -0.219,  -2.124,  +0.640,  -2.037, classB
 -1.001,  -1.922,  -0.224,  -2.155, classB
 -1.202,  -1.841,  -1.517,  -1.591, classB
 -0.021,  -2.230,  +0.612,  -2.144, classB
 +0.379,  -2.229,  -1.847,  -1.305, classB
 -0.705,  -2.182,  -0.396,  -2.258, classB
 +1.327,  -1.908,  +0.143,  -2.320, classB
 -1.071,  -2.098,  -1.824,  -1.491, classB
 +0.408,  -2.352,  -0.843,  -2.233, classB
 -0.774,  -2.291,  -2.203,  -0.998, classB
 +0.219,  -2.440,  -0.795,  -2.317, classB
 -1.041,  -2.252,  -2.037,  -1.417, classB
 -1.991,  -1.533,  +1.723,  -1.829, classB
 -0.908,  -2.376,  +0.640,  -2.462, classB
 -1.479,  -2.109,  +0.253,  -2.563, classB
 -0.654,  -2.524,  +0.483,  -2.562, classB
 +1.122,  -2.388,  +1.399,  -2.237, classB
 +0.240,  -2.659,  +1.462,  -2.234, classB
 +0.879,  -2.554,  +0.707,  -2.607, classB
 +1.982,  -1.881,  -0.519,  -2.683, classB
 +1.174,  -2.502,  +2.534,  -1.104, classB
 +1.487,  -2.367,  +0.643,  -2.720, classB
 +2.514,  -1.292,  +1.096,  -2.606, classB
 +2.269,  -1.738,  +2.514,  -1.360, classB
 +2.358,  -1.670,  +2.884,  -0.186, classB
 +1.530,  -2.488,  +2.106,  -2.024, classB
 +2.902,  -0.544,  +2.685,  -1.228, classB
 +2.976,  -0.219,  +1.679,  -2.467, classB
 +1.114,  -2.802,  +2.507,  -1.675, classB
 +1.545,  -2.626,  +2.254,  -2.050, classB
 +1.792,  -2.502,  +2.619,  -1.618, classB
 +2.711,   1.522,  +3.055,   0.582, classB
 +1.407,  -2.808,  +2.484,   1.923, classB
 +1.556,  -2.764,  +2.815,  -1.463, classB
 +2.465,  -2.047,  +3.053,  -0.971, classB
 +3.231,   0.155,  +3.180,  -0.597, classB
 +3.260,  -0.215,  +3.165,  -0.809, classB
 +2.747,  -1.825,  +1.961,   2.651, classB
 +3.329,  -0.035,  +3.100,  -1.215, classB
 +2.053,   2.661,  +3.200,   1.028, classB
 +3.390,   0.127,  +3.384,   0.240, classB
 +2.942,   1.751,  +2.480,   2.360, classB
 +2.133,   2.718,  +1.310,   3.197, classB
 +3.180,   1.430,  +3.456,   0.460, classB
 +0.733,   3.441,  +1.309,   3.265, classB
 +2.907,   2.037,  +2.904,   2.041, classB
 +3.573,   0.235,  +3.026,   1.915, classB
 +1.203,   3.406,  +3.609,  -0.158, classB
 -0.062,   3.643,  +3.326,   1.489, classB
 +2.106,   3.012,  +3.484,   1.169, classB
 +3.513,   1.182,  +2.853,   2.366, classB
 +3.021,   2.201,  +1.259,   3.519, classB
 +3.381,   1.667,  +3.709,   0.671, classB
 +1.364,   3.548,  +1.245,   3.591, classB
 +2.394,   2.992,  -0.053,   3.832, classB
 +0.896,   3.758,  -2.724,   2.740, classB
 +1.269,   3.683,  -2.034,   3.322, classB
 -0.198,   3.921,  +2.574,   2.965, classB
 +2.774,   2.823,  -3.030,   2.546, classB
 -3.378,   2.122,  +0.714,   3.925, classB
 +2.279,   3.312,  -0.991,   3.896, classB
 -1.046,   3.915,  +1.780,   3.640, classB
 -2.268,   3.395,  -2.902,   2.873, classB
 -3.846,   1.463,  +0.998,   3.992, classB
 -3.288,   2.527,  +0.144,   4.144, classB
 -1.056,   4.042,  +2.441,   3.390, classB
 +0.084,   4.208,  -0.054,   4.209, classB
 -3.243,   2.732,  +0.273,   4.232, classB
 -1.981,   3.785,  +1.947,   3.803, classB
 +0.235,   4.297,  -3.563,   2.413, classB
 -2.811,   3.300,  -0.589,   4.295, classB
 -4.122,   1.441,  -3.655,   2.388, classB
 -3.289,   2.919,  -1.199,   4.231, classB
 -1.574,   4.140,  -3.061,   3.201, classB
 -4.431,   0.509,  -3.206,   3.101, classB
 -2.750,   3.552,  -0.906,   4.400, classB
 -4.467,   0.711,  -2.560,   3.729, classB
 -0.891,   4.467,  -4.551,  -0.191, classB
 -2.601,   3.777,  -2.830,   3.609, classB
 -4.589,   0.508,  -3.717,   2.739, classB
 -3.926,   2.489,  -4.638,  -0.317, classB
 -4.641,  -0.603,  -3.804,   2.727, classB
 -4.468,   1.497,  -4.424,   1.622, classB
 -3.422,   3.284,  -4.685,   0.739, classB
 -4.048,   2.533,  -4.653,   1.068, classB
 -2.815,  -3.895,  -4.759,   0.672, classB
 +1.506,  -0.780,  +1.652,   0.383, classA
 +1.306,   1.131,  +1.539,  -0.783, classA
 +1.463,  -0.976,  +1.710,  -0.410, classA
 +1.675,  -0.631,  +1.787,   0.109, classA
 +1.809,  -0.211,  +1.295,   1.281, classA
 +1.849,   0.113,  +0.848,   1.647, classA
 +1.839,   0.413,  +1.870,   0.230, classA
 +1.390,   1.319,  +0.357,   1.882, classA
 +0.994,   1.675,  +0.506,   1.880, classA
 +0.699,   1.851,  +1.559,   1.219, classA
 +1.767,   0.957,  +0.517,   1.942, classA
 +1.193,   1.656,  +0.200,   2.032, classA
 +1.545,   1.381,  +1.458,   1.473, classA
 +1.705,   1.233,  +1.852,   0.999, classA
 +2.112,  -0.319,  +2.053,   0.587, classA
 +1.660,   1.393,  +1.644,   1.412, classA
 -0.143,   2.194,  +0.406,   2.161, classA
 +1.299,   1.812,  +0.349,   2.202, classA
 +1.500,   1.692,  +0.791,   2.119, classA
 -1.002,   2.062,  -0.262,   2.278, classA
 -0.302,   2.304,  +1.947,   1.270, classA
 -1.104,   2.081,  +0.033,   2.355, classA
 +2.296,   0.654,  +0.376,   2.357, classA
 -0.909,   2.241,  +1.314,   2.030, classA
 -0.012,   2.450,  +0.148,   2.445, classA
 -0.519,   2.426,  -0.709,   2.378, classA
 +0.418,   2.478,  -1.180,   2.218, classA
 -0.385,   2.515,  +0.438,   2.506, classA
 -0.107,   2.573,  +1.503,   2.092, classA
 +0.199,   2.599,  -1.922,   1.761, classA
 +0.863,   2.493,  -0.427,   2.603, classA
 -1.110,   2.428,  -2.428,   1.111, classA
 -2.110,   1.687,  -0.989,   2.513, classA
 +0.376,   2.707,  +0.364,   2.708, classA
 -0.879,   2.620,  -0.908,   2.610, classA
 -0.345,   2.774,  -0.446,   2.760, classA
 -1.375,   2.470,  -0.395,   2.799, classA
 -1.809,   2.213,  -1.784,   2.233, classA
 -2.889,  -0.041,  -1.968,   2.116, classA
 -2.910,  -0.255,  -2.638,   1.254, classA
 -2.933,   0.337,  -1.992,   2.179, classA
 -2.797,   1.040,  -2.981,   0.138, classA
 -1.925,   2.320,  -2.687,   1.369, classA
 -1.017,   2.872,  -2.984,  -0.613, classA
 -3.078,  -0.023,  -2.708,   1.463, classA
 -2.990,   0.853,  -2.259,   2.137, classA
 -2.185,   2.256,  -1.916,   2.489, classA
 -2.854,   1.384,  -3.141,   0.442, classA
 -2.778,   1.596,  -3.064,  -0.935, classA
 -3.231,   0.155,  -2.325,  -2.250, classA
 -1.986,  -2.594,  -3.190,   0.703, classA
 -3.165,   0.928,  -3.267,  -0.452, classA
 -1.862,  -2.760,  -3.163,   1.039, classA
 -2.279,  -2.471,  -2.976,   1.561, classA
 -2.790,  -1.929,  -0.184,  -3.387, classA
 -1.836,  -2.890,  -0.570,  -3.376, classA
 -2.408,  -2.478,  -3.413,  -0.540, classA
 -2.954,  -1.853,  -3.344,  -0.986, classA
 -3.446,  -0.706,  -2.701,  -2.254, classA
 -1.420,  -3.253,  -3.539,  -0.269, classA
 -2.636,  -2.424,  -2.046,  -2.939, classA
 -2.300,  -2.786,  -2.959,   2.072, classA
 -2.343,  -2.791,  -3.405,  -1.297, classA
 -2.131,  -2.994,  -1.689,  -3.264, classA
 -2.954,  -2.239,  -1.625,  -3.331, classA
 -3.627,   0.905,  -3.130,  -2.043, classA
 -2.317,  -2.973,  +0.975,  -3.641, classA
 -0.154,  -3.798,  -3.661,  -1.020, classA
 -3.822,   0.280,  -1.166,  -3.650, classA
 -3.515,  -1.604,  -0.137,  -3.861, classA
 -2.580,  -2.918,  -0.958,  -3.775, classA
 -2.723,  -2.829,  -0.047,  -3.926, classA
 +2.225,  -3.273,  -1.843,  -3.503, classA
 -2.590,  -3.034,  +1.196,  -3.806, classA
 -1.023,  -3.888,  -1.797,  -3.597, classA
 +0.297,  -4.041,  +1.035,  -3.918, classA
 +2.594,  -3.154,  +0.947,  -3.972, classA
 -0.705,  -4.054,  +2.983,  -2.834, classA
 -1.881,  -3.695,  -0.362,  -4.130, classA
 +0.084,  -4.177,  -0.815,  -4.097, classA
 +1.774,  -3.817,  -3.657,  -2.083, classA
 +0.188,  -4.236,  +2.164,  -3.647, classA
 +0.033,  -4.272,  +2.905,  -3.132, classA
 +3.116,  -2.969,  -1.786,  -3.915, classA
 +2.770,  -3.334,  +0.990,  -4.220, classA
 +3.026,  -3.147,  +4.128,   1.421, classA
 +4.155,  -1.440,  +1.490,  -4.137, classA
 +3.913,  -2.075,  +1.102,  -4.290, classA
 +4.097,  -1.764,  +2.779,  -3.489, classA
 +0.077,  -4.491,  +2.926,  -3.408, classA
 +2.515,  -3.760,  +4.474,  -0.666, classA
 +1.870,  -4.153,  +4.469,   0.881, classA
 +4.104,  -2.047,  +3.852,  -2.489, classA
 +4.540,  -0.842,  +4.607,  -0.315, classA
 +4.373,   1.578,  +4.511,   1.124, classA
 +3.668,  -2.907,  +4.644,  -0.585, classA
 +4.573,   1.135,  +4.678,   0.563, classA
 +4.628,   1.041,  +3.899,  -2.701, classA
 +4.120,  -2.414,  +4.163,   2.338, classA
 +3.441,   3.355,  +4.576,   1.470, classA
 -1.596,   0.574,  -1.631,   0.463, classB
 -1.726,  -0.058,  -1.410,   0.998, classB
 -1.674,  -0.540,  -1.745,  -0.220, classB
 -1.785,  -0.139,  -1.735,   0.441, classB
 -1.614,  -0.844,  -1.700,  -0.654, classB
 -1.694,   0.750,  -0.659,  -1.732, classB
 -1.415,  -1.244,  -1.326,  -1.339, classB
 -1.905,   0.205,  -1.377,  -1.332, classB
 -1.530,  -1.204,  -1.912,  -0.369, classB
 -0.579,  -1.892,  -1.911,  -0.512, classB
 -1.556,  -1.272,  -1.482,  -1.357, classB
 -1.301,  -1.573,  -2.002,  -0.398, classB
 -2.072,  -0.064,  -0.439,  -2.026, classB
 -2.097,   0.175,  -1.587,  -1.382, classB
 -0.185,  -2.128,  -1.502,  -1.518, classB
 -1.269,  -1.757,  +0.980,  -1.933, classB
 -1.202,  -1.841,  -0.355,  -2.170, classB
 -0.132,  -2.226,  -0.407,  -2.192, classB
 -2.157,  -0.680,  -1.501,  -1.691, classB
 -0.444,  -2.249,  -1.346,  -1.856, classB
 -1.862,  -1.390,  +0.837,  -2.168, classB
 +0.969,  -2.147,  -0.889,  -2.181, classB
 -1.030,  -2.153,  -1.196,  -2.066, classB
 +0.621,  -2.337,  -1.473,  -1.918, classB
 +2.044,  -1.351,  +1.508,  -1.931, classB
 +0.469,  -2.436,  -1.101,  -2.223, classB
 +0.136,  -2.509,  +0.196,  -2.505, classB
 -0.859,  -2.395,  -0.956,  -2.358, classB
 +0.728,  -2.470,  +1.840,  -1.803, classB
 -0.615,  -2.533,  +0.699,  -2.511, classB
 +0.407,  -2.607,  -0.307,  -2.620, classB
 +1.391,  -2.279,  +0.489,  -2.625, classB
 -2.016,  -1.797,  +0.084,  -2.700, classB
 +2.055,  -1.801,  +1.608,  -2.209, classB
 +2.027,  -1.879,  -1.378,  -2.396, classB
 +0.962,  -2.625,  +2.382,  -1.462, classB
 +2.336,  -1.592,  +2.290,  -1.657, classB
 +2.492,  -1.399,  +1.369,  -2.509, classB
 +2.365,  -1.661,  +1.656,  -2.368, classB
 +2.162,  -1.964,  +2.253,  -1.859, classB
 +2.417,  -1.695,  -0.028,  -2.952, classB
 +2.982,  -0.109,  +2.964,   0.340, classB
 +2.708,   1.325,  -0.755,  -2.919, classB
 +3.018,  -0.418,  +2.831,  -1.125, classB
 -0.032,  -3.078,  +3.044,  -0.459, classB
 +2.809,  -1.334,  +2.042,  -2.345, classB
 +3.137,  -0.153,  +2.953,   1.071, classB
 +2.595,  -1.825,  +2.777,  -1.534, classB
 +3.099,  -0.814,  +3.200,  -0.152, classB
 +2.217,   2.356,  +3.205,  -0.438, classB
 +2.924,  -1.457,  +3.005,  -1.282, classB
 +3.148,  -0.984,  +3.190,  -0.837, classB
 +3.329,  -0.058,  +2.207,   2.492, classB
 +2.672,  -2.038,  +3.200,  -1.028, classB
 +2.107,   2.658,  +2.811,   1.899, classB
 +3.402,  -0.386,  +2.122,   2.686, classB
 +3.427,  -0.439,  +3.098,   1.529, classB
 +2.723,   2.177,  +2.962,   1.839, classB
 +2.311,   2.652,  +2.113,   2.813, classB
 +3.472,   0.738,  +3.329,   1.232, classB
 +2.984,   1.979,  +2.818,   2.209, classB
 +2.424,   2.678,  +3.338,   1.380, classB
 +2.649,   2.502,  -0.102,   3.642, classB
 +3.500,   1.120,  +0.793,   3.589, classB
 +0.692,   3.641,  +0.711,   3.638, classB
 -1.911,   3.213,  +2.974,   2.265, classB
 +1.725,   3.351,  +3.749,   0.393, classB
 -0.096,   3.799,  +0.595,   3.754, classB
 +1.275,   3.614,  +2.023,   3.255, classB
 -0.317,   3.850,  +0.293,   3.852, classB
 +1.165,   3.717,  -1.998,   3.344, classB
 +2.838,   2.713,  -0.478,   3.897, classB
 -0.869,   3.861,  +0.096,   3.957, classB
 +0.474,   3.961,  +2.189,   3.335, classB
 +2.195,   3.369,  -2.875,   2.810, classB
 -3.853,   1.255,  +2.553,   3.146, classB
 +2.181,   3.452,  -2.392,   3.310, classB
 -0.046,   4.115,  +3.405,   2.310, classB
 +1.186,   3.973,  +1.783,   3.743, classB
 -3.950,   1.360,  -0.339,   4.164, classB
 -2.819,   3.125,  -2.709,   3.221, classB
 +1.099,   4.096,  -1.433,   3.991, classB
 -4.172,   0.917,  -2.505,   3.460, classB
 -1.450,   4.052,  -2.089,   3.762, classB
 -0.936,   4.233,  -1.838,   3.926, classB
 -3.290,   2.870,  -3.095,   3.080, classB
 -4.356,   0.604,  -4.106,   1.574, classB
 -3.959,   1.985,  -3.804,   2.269, classB
 -1.920,   4.026,  -2.130,   3.919, classB
 -3.926,   2.182,  -4.460,   0.536, classB
 -2.569,   3.723,  -3.514,   2.848, classB
 -3.872,   2.398,  -2.731,   3.645, classB
 -3.752,   2.637,  -4.304,   1.584, classB
 -4.510,  -0.991,  -4.104,   2.116, classB
 -4.611,  -0.596,  -4.137,  -2.122, classB
 -3.455,   3.157,  -4.663,   0.401, classB
 -2.393,   4.059,  -3.214,   3.446, classB
 -3.737,   2.921,  -4.458,   1.620, classB
 -4.674,  -0.976,  -3.692,   3.028, classB
 -4.106,  -2.497,  -3.757,   2.998, classB
 +1.326,   1.057,  +0.854,   1.465, classA
 +1.645,  -0.525,  +0.834,  -1.512, classA
 +1.667,   0.560,  +1.745,  -0.219, classA
 +1.773,  -0.245,  +1.753,   0.363, classA
 +1.779,   0.392,  +0.921,   1.571, classA
 +1.623,   0.893,  +1.534,  -1.039, classA
 +1.733,  -0.739,  +1.263,   1.398, classA
 +1.834,   0.555,  +1.876,  -0.386, classA
 +1.558,   1.168,  +1.873,  -0.533, classA
 +0.705,   1.849,  +1.137,   1.619, classA
 +1.874,   0.727,  +2.001,   0.192, classA
 +2.030,   0.214,  +0.852,   1.855, classA
 +1.388,   1.539,  +1.274,   1.635, classA
 +2.095,   0.191,  +2.033,   0.544, classA
 +1.973,   0.817,  +1.328,   1.672, classA
 +1.632,   1.425,  +0.682,   2.057, classA
 +1.123,   1.890,  +1.958,   1.000, classA
 -0.210,   2.220,  +1.908,   1.154, classA
 +0.854,   2.094,  +1.431,   1.751, classA
 -0.386,   2.260,  +0.792,   2.152, classA
 +2.160,   0.859,  -0.668,   2.226, classA
 +0.953,   2.154,  +0.082,   2.354, classA
 +1.037,   2.150,  +1.602,   1.770, classA
 +0.356,   2.392,  -0.540,   2.357, classA
 -0.393,   2.418,  -1.805,   1.656, classA
 +0.960,   2.288,  +0.098,   2.479, classA
 +0.686,   2.417,  +0.643,   2.429, classA
 -2.510,   0.418,  -0.153,   2.539, classA
 +0.154,   2.571,  +0.820,   2.441, classA
 +0.958,   2.425,  -1.028,   2.396, classA
 -0.564,   2.577,  +0.970,   2.453, classA
 -1.840,   1.935,  -2.486,   0.972, classA
 +0.388,   2.673,  -1.648,   2.140, classA
 -0.678,   2.647,  -2.144,   1.694, classA
 -2.231,   1.631,  -2.342,   1.468, classA
 -2.500,   1.251,  -1.205,   2.522, classA
 -2.360,   1.556,  -2.305,   1.637, classA
 -1.774,   2.241,  -0.726,   2.765, classA
 -2.602,   1.256,  -2.538,   1.381, classA
 -2.576,   1.377,  -2.383,   1.689, classA
 -2.864,   0.718,  -1.695,   2.417, classA
 -2.400,   1.773,  -2.583,   1.494, classA
 -2.690,   1.361,  -2.941,  -0.667, classA
 -2.989,   0.589,  -2.575,   1.628, classA
 -1.502,   2.687,  -2.654,   1.559, classA
 -2.966,   0.933,  -2.651,  -1.625, classA
 -3.137,  -0.147,  -0.291,   3.127, classA
 -3.064,  -0.824,  -3.025,  -0.957, classA
 -2.952,  -1.246,  -3.193,   0.266, classA
 -3.226,  -0.249,  -3.231,   0.162, classA
 -3.214,   0.585,  -2.436,   2.177, classA
 -3.296,   0.103,  -2.802,   1.739, classA
 -3.017,   1.408,  -3.311,  -0.350, classA
 -3.228,  -0.934,  -3.355,   0.190, classA
 -2.776,   1.949,  -3.179,  -1.184, classA
 -3.368,  -0.614,  -3.328,  -0.804, classA
 -2.540,  -2.343,  -3.420,  -0.490, classA
 -0.064,  -3.486,  -3.471,   0.326, classA
 -2.463,  -2.512,  -1.297,  -3.270, classA
 -1.945,  -2.969,  -3.549,   0.001, classA
 -3.514,  -0.686,  -3.016,  -1.930, classA
 -3.604,   0.248,  -2.940,  -2.099, classA
 -2.189,  -2.912,  -3.638,   0.201, classA
 -0.896,  -3.564,  -0.973,  -3.544, classA
 +1.289,  -3.475,  -1.638,  -3.325, classA
 -1.250,  -3.523,  -0.301,  -3.726, classA
 -2.750,  -2.578,  -0.817,  -3.680, classA
 -3.271,  -1.935,  -2.555,  -2.814, classA
 -2.461,  -2.937,  +0.109,  -3.831, classA
 +0.251,  -3.855,  -2.748,  -2.715, classA
 +0.421,  -3.872,  +0.531,  -3.859, classA
 +1.157,  -3.752,  -2.189,  -3.259, classA
 +1.219,  -3.765,  -3.338,  -2.126, classA
 +1.183,  -3.810,  +1.073,  -3.842, classA
 -2.219,  -3.353,  +1.371,  -3.780, classA
 +1.637,  -3.707,  +0.658,  -3.998, classA
 +0.990,  -3.961,  +1.547,  -3.779, classA
 +0.344,  -4.100,  +1.505,  -3.830, classA
 -0.284,  -4.137,  +2.940,  -2.924, classA
 +2.127,  -3.596,  -1.269,  -3.980, classA
 +1.104,  -4.062,  +3.032,  -2.919, classA
 +0.945,  -4.134,  -1.615,  -3.921, classA
 +3.652,  -2.216,  +0.200,  -4.267, classA
 +3.745,  -2.119,  +1.308,  -4.100, classA
 +4.291,  -0.612,  -2.879,  -3.240, classA
 +4.079,  -1.556,  +0.288,  -4.357, classA
 +3.206,  -3.010,  +3.403,  -2.786, classA
 -1.545,  -4.151,  +2.689,  -3.519, classA
 -1.534,  -4.188,  +4.320,  -1.110, classA
 +4.405,  -0.881,  +4.454,  -0.582, classA
 +4.523,  -0.020,  +3.425,  -2.955, classA
 +3.735,  -2.607,  +3.543,  -2.862, classA
 +4.172,  -1.904,  +0.490,  -4.560, classA
 +4.022,   2.269,  +2.914,  -3.582, classA
 +4.327,  -1.700,  +4.049,  -2.284, classA
 +3.771,  -2.773,  +1.599,  -4.399, classA
 +4.108,   2.307,  +4.505,  -1.381, classA
 +4.735,  -0.280,  +3.394,  -3.314, classA
 +0.484,  -4.750,  +4.700,   0.838, classA
 +4.252,   2.241,  +4.783,  -0.472, classA
 -1.681,   0.227,  -1.695,  -0.047, classB
 -1.715,   0.205,  -1.726,  -0.055, classB
 -1.756,  -0.091,  -1.658,  -0.586, classB
 -1.666,   0.655,  -1.326,   1.202, classB
 -1.196,  -1.374,  -1.757,  -0.480, classB
 -1.633,  -0.875,  -1.700,  -0.736, classB
 -1.540,  -1.086,  -1.659,   0.894, classB
 -1.400,  -1.307,  -1.672,   0.936, classB
 -1.855,  -0.592,  -0.626,  -1.844, classB
 -1.659,  -1.078,  -1.731,  -0.958, classB
 -1.894,  -0.673,  -0.140,  -2.005, classB
 +0.103,  -2.039,  -1.817,  -0.931, classB
 -1.136,  -1.734,  -1.638,  -1.270, classB
 -0.892,  -1.906,  -2.072,  -0.368, classB
 -1.802,  -1.147,  -2.009,   0.725, classB
 -1.812,  -1.188,  -0.948,  -1.949, classB
 +0.546,  -2.130,  -2.047,  -0.801, classB
 -1.305,  -1.808,  -0.192,  -2.222, classB
 +0.320,  -2.238,  +0.112,  -2.258, classB
 -1.148,  -1.984,  -1.256,  -1.918, classB
 -0.604,  -2.244,  -1.250,  -1.959, classB
 -0.096,  -2.354,  -0.327,  -2.333, classB
 -0.121,  -2.384,  -1.203,  -2.061, classB
 -1.553,  -1.853,  -2.113,  -1.176, classB
 -0.129,  -2.446,  -0.811,  -2.312, classB
 -0.322,  -2.460,  +1.522,  -1.959, classB
 -1.496,  -2.019,  +0.625,  -2.434, classB
 -1.904,  -1.687,  -0.498,  -2.495, classB
 +2.332,  -1.094,  +0.509,  -2.525, classB
 +0.064,  -2.606,  +2.154,  -1.468, classB
 +2.205,  -1.449,  +1.809,  -1.921, classB
 +0.983,  -2.482,  +2.605,  -0.586, classB
 +1.099,  -2.468,  +0.520,  -2.651, classB
 +2.104,  -1.743,  +1.569,  -2.237, classB
 +2.172,  -1.709,  +2.329,  -1.488, classB
 +2.389,  -1.452,  +2.088,  -1.859, classB
